[-1.78885, -0.894427]
[-1.76581, -0.939099]
[-1.74166, -0.983177]
[-1.7164, -1.02663]
[-1.69006, -1.06944]
[-1.66265, -1.11158]
[-1.63419, -1.15301]
[-1.6047, -1.19371]
[-1.57419, -1.23366]
[-1.54269, -1.27283]
[-1.51022, -1.3112]
[-1.47679, -1.34873]
[-1.44243, -1.38542]
[-1.40716, -1.42123]
[-1.371, -1.45615]
[-1.33397, -1.49014]
[-1.29611, -1.52319]
[-1.25742, -1.55528]
[-1.21794, -1.58639]
[-1.17769, -1.61649]
[-1.13669, -1.64558]
[-1.09498, -1.67363]
[-1.05257, -1.70061]
[-1.00951, -1.72653]
[-0.965799, -1.75135]
[-0.921482, -1.77507]
[-0.876584, -1.79767]
[-0.831131, -1.81913]
[-0.785154, -1.83944]
[-0.738681, -1.85859]
[-0.691741, -1.87656]
[-0.644364, -1.89336]
[-0.596581, -1.90895]
[-0.54842, -1.92334]
[-0.499913, -1.93651]
[-0.451091, -1.94847]
[-0.401983, -1.95919]
[-0.352622, -1.96867]
[-0.303037, -1.97691]
[-0.253262, -1.9839]
[-0.203326, -1.98964]
[-0.153262, -1.99412]
[-0.103101, -1.99734]
[-0.0528755, -1.9993]
[-0.00261621, -2]
[0.0476448, -1.99943]
[0.0978756, -1.9976]
[0.148045, -1.99451]
[0.19812, -1.99016]
[0.248071, -1.98456]
[0.297864, -1.97769]
[0.34747, -1.96958]
[0.396856, -1.96023]
[0.445992, -1.94964]
[0.494845, -1.93782]
[0.543387, -1.92477]
[0.591585, -1.9105]
[0.639409, -1.89503]
[0.686829, -1.87837]
[0.733816, -1.86051]
[0.780339, -1.84149]
[0.826369, -1.82129]
[0.871878, -1.79995]
[0.916835, -1.77747]
[0.961214, -1.75387]
[1.00499, -1.72916]
[1.04812, -1.70336]
[1.0906, -1.67648]
[1.13238, -1.64855]
[1.17345, -1.61957]
[1.21378, -1.58957]
[1.25335, -1.55857]
[1.29212, -1.52658]
[1.33007, -1.49362]
[1.36719, -1.45973]
[1.40344, -1.42491]
[1.4388, -1.38919]
[1.47326, -1.35259]
[1.50678, -1.31514]
[1.53936, -1.27686]
[1.57096, -1.23778]
[1.60157, -1.19791]
[1.63117, -1.15728]
[1.65973, -1.11592]
[1.68725, -1.07386]
[1.71371, -1.03112]
[1.73908, -0.98773]
[1.76335, -0.943715]
[1.78651, -0.899104]
[1.80854, -0.853925]
[1.82943, -0.808207]
[1.84916, -0.761978]
[1.86772, -0.715268]
[1.88511, -0.668106]
[1.9013, -0.620522]
[1.9163, -0.572546]
[1.93008, -0.524208]
[1.94264, -0.47554]
[1.95398, -0.426571]
[1.96408, -0.377332]
[1.97294, -0.327855]
[1.98056, -0.278172]
[1.98693, -0.228312]
[1.99204, -0.178308]
[1.99589, -0.128192]
